0.0 0.5 1.0
Linear 3 explicit
 0.000000 -1.2656187004879342 -0.3316752926521289 -0.4963292897879143
 0.001000 -1.2648361345314125 -0.3310536130245012 -0.4965722571710349
 0.002000 -1.2637190097709532 -0.3300593871527582 -0.4949031494890512
 0.003000 -1.2625592326117057 -0.32884932689488977 -0.4899065228049587
 0.004000 -1.2614414044764752 -0.3274540013549796 -0.4804961736004727
 0.005000 -1.260376910126676 -0.3258631152091951 -0.4660552801710566
 0.006000 -1.259375608573175 -0.3240779345998348 -0.4463558304194075
 0.007000 -1.258428635609006 -0.3220917856669345 -0.4213838003181847
 0.008000 -1.2575501160228377 -0.31989439404562603 -0.39128037974523955
 0.009000 -1.2567523110926158 -0.31747257101687865 -0.35629313250842254
 0.010000 -1.256047770243616 -0.3148094887337436 -0.3167368789150117
 0.011000 -1.249754493984719 -0.30944185005841973 -0.3075686432425738
 0.012000 -1.2431806241070569 -0.30363249008574655 -0.2979322725230341
 0.013000 -1.2363804520731065 -0.2974069666566095 -0.2878837574744173
 0.014000 -1.2294127415071803 -0.29079249229089754 -0.27747676179239045
 0.015000 -1.2223361061014855 -0.2838164016376865 -0.2667638840971804
 0.016000 -1.2152088614844518 -0.27650626616505747 -0.2557966017341249
 0.017000 -1.2080888884875303 -0.2688899716233806 -0.24462521183021457
 0.018000 -1.2010335085466082 -0.26099576147284864 -0.233298772412036
 0.019000 -1.194099371323516 -0.25285224964402886 -0.22186504475841284
 0.020000 -1.1873423547772894 -0.24448840558635254 -0.2103704379864313
 0.021000 -1.180817478018716 -0.23593351421511244 -0.1988599567189756
 0.022000 -1.174578827345847 -0.22721711308344084 -0.1873771525503708
 0.023000 -1.1686794958829991 -0.21836890887509242 -0.17596407991058793
 0.024000 -1.1631715372315572 -0.20941867512850365 -0.16466125682482158
 0.025000 -1.1581059334876955 -0.20039613295971037 -0.15350763097183884
 0.026000 -1.1535325778901249 -0.19133081644488215 -0.14254055135968136
 0.027000 -1.1495002722305339 -0.18225192425104808 -0.1317957458598964
 0.028000 -1.1460567389912957 -0.17318815906126162 -0.12130730477072071
 0.029000 -1.1429936425111558 -0.1640376990734822 -0.11231574997597127
 0.030000 -1.1400337752064227 -0.15467276960496434 -0.10640517628435409
 0.031000 -1.1369657186072142 -0.14500986470352473 -0.10486915992821544
 0.032000 -1.1336241680797605 -0.13499519906103785 -0.10879819272430047
 0.033000 -1.1298761592942184 -0.12459404005112162 -0.11913983218420343
 0.034000 -1.12561128514073 -0.11378277877250298 -0.13674002074419156
 0.035000 -1.120734677228858 -0.10254290393323373 -0.16237129537741835
 0.036000 -1.1151619122036787 -0.09085627812785191 -0.19675179805550047
 0.037000 -1.1088152645072002 -0.07870128930817089 -0.2405577682176121
 0.038000 -1.1016209070859788 -0.06604957511549969 -0.29443135347347393
 0.039000 -1.0935067874494906 -0.052863106421597195 -0.3589849873364368
 0.040000 -1.0844009965485693 -0.03909147857828543 -0.43480316935162766
 0.041000 -1.0742305145283393 -0.02466930179260629 -0.5224421875125964
 0.042000 -1.0629202693383213 -0.009513611048177495 -0.622428107082426
 0.043000 -1.050392488184737 0.0064787650955437925 -0.7352531873073411
 0.044000 -1.036566363536563 0.02343392597082783 -0.8613707593691171
 0.045000 -1.0214030525705982 0.04151122434266341 -1.0011463941492522
 0.046000 -1.0048533949920615 0.06089784428260714 -1.1549008223211206
 0.047000 -0.9868636163266781 0.08181208939645757 -1.3228951065286507
 0.048000 -0.967378367010357 0.10450645942548675 -1.5053173145475616
 0.049000 -0.9463368397937506 0.12943765264761709 -1.7027197120623798
 0.050000 -0.9236934226345667 0.15702807407183172 -1.915317302859601
 0.051000 -0.899377686199473 0.18774681992665165 -2.1431409570424234
 0.052000 -0.8733591316036627 0.22211036924589678 -2.3860649498636888
 0.053000 -0.845656286683466 0.2606888282018005 -2.6437776407503852
 0.054000 -0.8163577027480372 0.30411069650752864 -2.9157524971798514
 0.055000 -0.7856164411386917 0.3530570642928552 -3.201239606006716
 0.056000 -0.7537316039385744 0.40827338287683546 -3.4992096669929538
 0.057000 -0.7210657556773654 0.4705367892483352 -3.8083828602735013
 0.058000 -0.6930544290583669 0.5440756195245626 -4.120631399716074
 0.059000 -0.7761803284118168 0.6803135714275257 -4.343277497474078
 0.060000 -0.8624138826538466 0.8169750656077852 -4.554609565941357
 0.061000 -0.9492174957457928 0.9564472817240883 -4.753725736174006
 0.062000 -1.033920493677501 1.0997818698678614 -4.943476792446229
 0.063000 -1.1141751122993204 1.2474211577838545 -5.126726102766256
 0.064000 -1.1881564030246001 1.3993227032656606 -5.306192245252371
 0.065000 -1.254649235869447 1.5550838208589468 -5.4842841133731195
 0.066000 -1.3133624750029056 1.713760535291044 -5.66355585592535
 0.067000 -1.3646698931686725 1.8751382232903637 -5.844464327437027
 0.068000 -1.408683361219708 2.038527484929027 -6.027819598842099
 0.069000 -1.4457808246529507 2.20325283619637 -6.214022233098272
 0.070000 -1.4765025964771887 2.368682141672892 -6.403149034159441
 0.071000 -1.501470790637207 2.534240868523554 -6.595039330395872
 0.072000 -1.5213311245502028 2.699416260873427 -6.789372170221865
 0.073000 -1.5367138926744888 2.8637555406734805 -6.985729057935529
 0.074000 -1.5482099227900166 3.0268610061757073 -7.183641420727122
 0.075000 -1.5563574913137568 3.1883838837293084 -7.382624439432502
 0.076000 -1.5616368267902359 3.3480180436377083 -7.5821998342233465
 0.077000 -1.5644695957496706 3.5054941841734077 -7.781910286921432
 0.078000 -1.5652214647104559 3.6605747632066397 -7.98132785202732
 0.079000 -1.560411640950587 3.812978768708973 -8.182530816394216
 0.080000 -1.5304923690361916 3.9608033707114316 -8.396088839885357
 0.081000 -1.5031705203366141 4.104838513237972 -8.60456927444034
 0.082000 -1.4785752460107806 4.245235732578763 -8.808461888144905
 0.083000 -1.4567365837506452 4.382106982403862 -9.008059549493016
 0.084000 -1.4376331904006086 4.515532009485717 -9.20354921715705
 0.085000 -1.4212050834109482 4.645568831138874 -9.395042635896477
 0.086000 -1.4073642038941747 4.772261338113182 -9.582599622456655
 0.087000 -1.3960028859082008 4.895644788173399 -9.76624550245796
 0.088000 -1.3870005240851309 5.015749743563212 -9.945984028479272
 0.089000 -1.3802287249638154 5.132604865451697 -10.121806827602123
 0.090000 -1.375309165800827 5.246217488660008 -10.293828593444578
 0.091000 -1.3715015643232755 5.356578882408023 -10.462372580295867
