0	 0.5	 1.0
Cubic	 101	 explicit
0	0
0.005	0
0.01	0
0.015	3.0301e-17
0.02	3.0301e-17
0.025	9.3131e-16
0.03	2.9322e-15
0.035	2.0009e-15
0.04	0
0.045	1.199e-15
0.05	1.2759e-15
0.055	7.6994e-17
0.06	0
0.065	0
0.07	3.232e-15
0.075	1.002e-14
0.08	6.788e-15
0.085	0
0.09	0
0.095	1.9639e-15
0.1	2.3059e-15
0.105	3.4202e-16
0.11	0
0.115	0
0.12	0
0.125	0
0.13	0
0.135	1.3233e-15
0.14	1.3233e-15
0.145	0
0.15	0
0.155	0
0.16	2.2037e-15
0.165	2.2037e-15
0.17	9.3543e-15
0.175	1.271e-14
0.18	3.4865e-15
0.185	1.3081e-16
0.19	0
0.195	3.7327e-15
0.2	8.6534e-15
0.205	8.9877e-15
0.21	6.9494e-15
0.215	7.2521e-15
0.22	4.3697e-15
0.225	4.5313e-15
0.23	4.5313e-15
0.235	2.765e-15
0.24	9.222e-15
0.245	6.457e-15
0.25	0
0.255	1.8853e-15
0.26	5.2884e-15
0.265	4.8887e-15
0.27	1.4856e-15
0.275	0
0.28	0
0.285	0
0.29	3.2485e-16
0.295	3.2485e-16
0.3	4.3141e-15
0.305	6.6706e-15
0.31	2.3566e-15
0.315	0
0.32	0
0.325	0
0.33	0
0.335	2.1274e-16
0.34	2.1274e-16
0.345	3.3291e-15
0.35	4.0911e-15
0.355	7.62e-16
0.36	0
0.365	7.1824e-16
0.37	7.1824e-16
0.375	1.5201e-16
0.38	1.5201e-16
0.385	6.5019e-17
0.39	2.4941e-16
0.395	7.6848e-16
0.4	1.4268e-15
0.405	2.1544e-15
0.41	3.5944e-15
0.415	2.2826e-15
0.42	8.3307e-16
0.425	8.3307e-16
0.43	0
0.435	0
0.44	0
0.445	0
0.45	1.0643e-15
0.455	1.0643e-15
0.46	0
0.465	0
0.47	1.0717e-15
0.475	1.0717e-15
0.48	0
0.485	3.5807e-15
0.49	1.1408e-14
0.495	7.827e-15
0.5	1.8669e-15
