0.0 0.5 1.0
Linear 3 explicit
 0.000000 80.088571 21.687872 42.135201
 0.001000 80.09044481787065 21.624455257027886 42.191938718623604
 0.002000 80.093664778483 21.615199890760408 42.18562479834125
 0.003000 80.09927430225326 21.60199155888305 42.176614203608544
 0.004000 80.10756249279292 21.585147761750168 42.16512353005993
 0.005000 80.11871246616184 21.564918619993556 42.151323407542435
 0.006000 80.13283473313065 21.541503947965943 42.13535014745181
 0.007000 80.14998984849555 21.515065686465157 42.117314224215384
 0.008000 80.17020371252319 21.48573703649744 42.09730650625593
 0.009000 80.19347785378366 21.45362923796882 42.07540288034857
 0.010000 80.21979629370671 21.418836659068553 42.05166772354846
 0.011000 80.24913009049156 21.38144066725297 42.02615654393791
 0.012000 80.281421429797 21.341513236323074 41.998918441339505
 0.013000 80.31661448049027 21.2991193377878 41.969997738680796
 0.014000 80.35464667435026 21.25431850199891 41.93943504698509
 0.015000 80.39544935265883 21.207166298482726 41.90726827523936
 0.016000 80.43894814164392 21.157715559054296 41.87353346479075
 0.017000 80.4850631544617 21.106017404245577 41.838265489565835
 0.018000 80.5336103337292 21.051459429741264 41.80219319037025
 0.019000 80.57088575778798 20.993570996022605 41.76452515728707
 0.020000 80.60797262486967 20.934479973297147 41.72607459633376
 0.021000 80.64557101139815 20.874407020308496 41.68698509281953
 0.022000 80.68284049759379 20.81340931495156 41.64729385243135
 0.023000 80.72091276750623 20.751711691936627 41.607147175238396
 0.024000 80.75904731699526 20.689325560565425 41.56655248527992
 0.025000 80.7975809296938 20.62637482914684 41.52559040976031
 0.026000 80.8362068861885 20.562909199866315 41.48429328991912
 0.027000 80.87502056824444 20.499017633890404 41.442719012836186
 0.028000 80.91371959125979 20.433774776898588 41.40193703156857
 0.029000 80.95270710240544 20.367976465850386 41.36115518810246
 0.030000 80.99146857296881 20.301841981611155 41.320164978192544
 0.031000 81.03036308307173 20.235474865744802 41.279030583000996
 0.032000 81.06909644703671 20.168905124391113 41.23777060035919
 0.033000 81.10778902825137 20.102205303752783 41.19642999446538
 0.034000 81.14630865762862 20.0354181693989 41.15503527145606
 0.035000 81.18468030994755 19.968601318900518 41.11362213035491
 0.036000 81.22283503973699 19.90180017525774 41.07221872437633
 0.037000 81.26059453311959 19.83408471037054 41.03187889280965
 0.038000 81.29835062901617 19.766118541768115 40.99181344563947
 0.039000 81.33565694847269 19.698160120216578 40.951752558858416
 0.040000 81.37285085726622 19.630293599944146 40.9117458470661
 0.041000 81.40967167238736 19.562536663087712 40.87180373372583
 0.042000 81.44623525360645 19.494946757643213 40.83196008392138
 0.043000 81.48242800011106 19.427555053908243 40.79223327226695
 0.044000 81.51827747242075 19.360406924430606 40.75265004547692
 0.045000 81.55372646021473 19.293537447563725 40.71323108192965
 0.046000 81.58855915413253 19.22585304531161 40.67517490615482
 0.047000 81.62331579408232 19.158250617037986 40.637333010953625
 0.048000 81.6574578024288 19.090823639276564 40.599589318841325
 0.049000 81.69139548196671 19.023659188086867 40.56199258158882
 0.050000 81.72482547050288 18.956765138350928 40.52454720733047
 0.051000 81.75789358064715 18.8901980838221 40.48728487562897
 0.052000 81.79047268504121 18.823983716423 40.45021996808749
 0.053000 81.8226027395866 18.7581654154236 40.413376767179486
 0.054000 81.85422360936147 18.692774853435697 40.376773002326566
 0.055000 81.88510936823432 18.626726547142937 40.34158219554811
 0.056000 81.91584234072505 18.560836886461438 40.306618410660995
 0.057000 81.94598786580079 18.495195801476445 40.27178652094642
 0.058000 81.9757907015562 18.42987733462575 40.237125825831086
 0.059000 82.00508664830764 18.364907035882275 40.20264988319411
 0.060000 82.03359866747036 18.300315122143516 40.168374727377824
 0.061000 82.06105033566561 18.23615209708428 40.1343271577325
 0.062000 82.08720918029448 18.1724901365832 40.10054547378111
 0.063000 82.11187380424411 18.10941749308812 40.06707650594296
 0.064000 82.13469513129434 18.046264313809527 40.03475227343303
 0.065000 82.15574362122481 17.983144953880597 40.00305993561003
 0.066000 82.17500236224203 17.92060532062799 39.971658674821754
 0.067000 82.19236147860249 17.85878313054503 39.94061764352138
 0.068000 82.20770900927084 17.79781498389309 39.91000542894272
 0.069000 82.22093317047253 17.737836638782746 39.87989019547389
 0.070000 82.23192409611138 17.67898303694792 39.85033969759883
 0.071000 82.24057521835564 17.621388142466003 39.821421198918394
 0.072000 82.24678440049456 17.565184639548253 39.793201320410404
 0.073000 82.25045489876604 17.51050352267881 39.76574583463767
 0.074000 82.25135646841869 17.456893051070438 39.739693775874
 0.075000 82.24966035506637 17.40416960421853 39.71469485471677
 0.076000 82.2454416432764 17.352920742359494 39.69039510811792
 0.077000 82.2386638707294 17.30329004745412 39.66686261849788
 0.078000 82.22928714758521 17.255410930901753 39.644160643128856
 0.079000 82.21727238150913 17.209407732721534 39.622348138070514
 0.080000 82.2025843181132 17.165396312872254 39.601480038545475
 0.081000 82.18519375220548 17.123484279544464 39.581607367184645
 0.082000 82.16507915594266 17.08377096033032 39.56277722035722
 0.083000 82.14222789335759 17.046347193343422 39.54503266912974
 0.084000 82.11663713736186 17.011294995033722 39.52841260176001
 0.085000 82.08849469699922 16.97864432155863 39.51293122076774
 0.086000 82.05648218725797 16.94834735948445 39.498565859071086
 0.087000 82.02084178462297 16.920604718992163 39.48541163262379
 0.088000 81.98182712748805 16.89555120446886 39.47353246043604
 0.089000 81.93956640002588 16.872996257881546 39.463244986998106
 0.090000 81.89459055574444 16.85253789906907 39.4541043554702
 0.091000 81.84714800677781 16.83441275275397 39.446006184201934
 0.092000 81.79741936709502 16.818673086283283 39.4389738263619
 0.093000 81.74575616401694 16.805300185820816 39.4329989194448
 0.094000 81.6908822178184 16.794093262672 39.42799175659291
 0.095000 81.63301467573461 16.785250674853103 39.424040958657244
 0.096000 81.57253606649097 16.77885070385781 39.4211815024977
 0.097000 81.50976877893372 16.774922475275147 39.4194264011961
 0.098000 81.44499685134011 16.773455133282734 39.41877080445736
 0.099000 81.37867175879644 16.774365274142152 39.41917744679886
 0.100000 81.30970593340126 16.777295840120594 39.420486801727876
 0.101000 81.23831661756657 16.7824070588568 39.42277045361842
 0.102000 81.16501415592583 16.78970643044134 39.42603175480428
 0.103000 81.09023316029997 16.799146782561202 39.43024962907133
 0.104000 81.0145108904545 16.81060951400114 39.435371085411994
 0.105000 80.93695809900049 16.82360267649899 39.4411763280326
 0.106000 80.85773643055614 16.838270519539112 39.447729803681014
 0.107000 80.77745300608089 16.85457378639488 39.45501397368766
 0.108000 80.69662258085981 16.872413920920565 39.462984803950626
 0.109000 80.61624799839294 16.891484556205565 39.47160424267934
 0.110000 80.53419093605726 16.91188952346697 39.48127930580426
 0.111000 80.45103352189551 16.93392593368922 39.491727912170404
 0.112000 80.36741793111672 16.957464450207176 39.50288874513156
 0.113000 80.28433227883075 16.98226949209102 39.51465009825343
 0.114000 80.20048019859392 17.007742703372006 39.52672827574189
 0.115000 80.11624861635549 17.03392506452211 39.53914269273051
 0.116000 80.0323786136367 17.060708291246666 39.55184201128965
 0.117000 79.94999361919375 17.087867581805106 39.564719634706414
 0.118000 79.86770890502912 17.11476771655606 39.57747439196081
 0.119000 79.78593398492796 17.141459672551377 39.590130434328714
 0.120000 79.70543924005878 17.16784587143698 39.60264150137468
 0.121000 79.62759329563008 17.19369718322287 39.614898938237914
 0.122000 79.55052989182832 17.21837421610774 39.62659961336058
 0.123000 79.47482920496118 17.24192852507486 39.637767934345725
 0.124000 79.40125967161042 17.264284696811544 39.64836815625531
 0.125000 79.331487354204 17.285224710412518 39.658296881213694
 0.126000 79.26295603774346 17.304120022978886 39.667256152917375
 0.127000 79.19650020841773 17.32103757192388 39.675277641350945
 0.128000 79.13299806113554 17.335934291837162 39.682340949212005
 0.129000 79.07179348706973 17.34810451224449 39.688111483261686
 0.130000 79.01282197514297 17.35775765095682 39.692688537585695
 0.131000 78.95685599724673 17.364928939652085 39.69608881794305
 0.132000 78.9048781915176 17.369559329537548 39.69828432286528
 0.133000 78.85551649882521 17.370941879890943 39.69893986514923
 0.134000 78.8088620147144 17.36929749915418 39.69816017885756
 0.135000 78.76560193701593 17.36470493749447 39.69598260690168
 0.136000 78.72673606958617 17.3571548423074 39.69240271000598
 0.137000 78.6818127499682 17.344162509155595 39.686242374914876
 0.138000 78.65447229457487 17.331587580571018 39.68027994831174
 0.139000 78.65187162416741 17.31971032545083 39.67464832493869
 0.140000 78.6708937302669 17.306119797730243 39.668204350046054
 0.141000 78.70679922378235 17.288378753152138 39.659792399573966
 0.142000 78.75448771294481 17.26442694790652 39.64843560496065
 0.143000 78.80933746126652 17.23278898006942 39.633434401546175
 0.144000 78.86765254668225 17.192625375026008 39.61439075082497
 0.145000 78.92680210448799 17.143677177835972 39.59118186881179
 0.146000 78.98515262138207 17.08615225199228 39.56390631438092
 0.147000 79.04188548687141 17.02059169673123 39.53282065077717
 0.148000 79.09677145017451 16.947742552249686 39.49827908854918
 0.149000 79.14903338974172 16.867819603153468 39.46093209763223
 0.150000 79.19903867480329 16.779362569162508 39.42141019985674
 0.151000 79.24815062996623 16.6849313438569 39.37921907917868
 0.152000 79.29732710883314 16.585592600790694 39.334835318583416
 0.153000 79.3472441085153 16.482238629773107 39.288657586064446
 0.154000 79.39815625820509 16.375575637536567 39.24100140917531
 0.155000 79.44975178676518 16.26565709422221 39.19248536655539
 0.156000 79.50169223623838 16.149948161084733 39.14388505508588
 0.157000 79.5542977771045 16.03110984292399 39.09397033024034
 0.158000 79.60709356181565 15.909717844716189 39.042983003234916
 0.159000 79.6595794944322 15.78634302898689 38.99116284896953
 0.160000 79.71109404775785 15.660961666318357 38.93920440792658
 0.161000 79.76132610753695 15.530921862993477 38.88798924890864
 0.162000 79.81097779917972 15.39931178144521 38.836155644537456
 0.163000 79.85990861917125 15.266875323702973 38.78399657834848
 0.164000 79.90790618958295 15.13429756076269 38.7317818602108
