0.0 0.5 1.0
Linear 3 explicit
 0.000000 32.086244 -56.36877647002441 -9.322085702132096
 0.001000 32.0847606304236 -56.368011488115116 -9.326594391494588
 0.002000 32.08159813217839 -56.366754242725065 -9.333315008465041
 0.003000 32.07769348483697 -56.3655646921233 -9.341786778377221
 0.004000 32.073874678891734 -56.36447296596894 -9.351772161672283
 0.005000 32.070295343015474 -56.36310818340452 -9.362913871429093
 0.006000 32.06672524234247 -56.361134759523026 -9.374980685783493
 0.007000 32.06299262484128 -56.35843029298731 -9.388012590108856
 0.008000 32.05911394804818 -56.354983240633885 -9.402216747431487
 0.009000 32.055175127271504 -56.35075316828441 -9.417806893038785
 0.010000 32.0512117161224 -56.345637425489144 -9.434941795976549
 0.011000 32.047198046319345 -56.339514392034275 -9.453753438212832
 0.012000 32.043096143816896 -56.332281830123094 -9.474385212394584
 0.013000 32.038888297137895 -56.32385841629674 -9.496997830887766
 0.014000 32.03462928629683 -56.31419319637748 -9.521781987039034
 0.015000 32.030585836137895 -56.30330846162088 -9.549007410744654
 0.016000 32.02700303572213 -56.29113690611565 -9.578856687313012
 0.017000 32.02411137769176 -56.27759593952623 -9.611484578086847
 0.018000 32.022124148537046 -56.26260117497841 -9.647033063719341
 0.019000 32.02123214240286 -56.24606876482549 -9.685635936430844
 0.020000 32.02159812845974 -56.227915863736484 -9.727420516012751
 0.021000 32.023351960426425 -56.208060880967224 -9.772508434917661
 0.022000 32.02658670634647 -56.18642377704142 -9.821016082114266
 0.023000 32.03135667841382 -56.16292700147255 -9.873055426529621
 0.024000 32.037675780132616 -56.1374947803155 -9.928733345820717
 0.025000 32.04551728484788 -56.11005401115733 -9.988152191901897
 0.026000 32.05481515545569 -56.08053469096069 -10.051409992978177
 0.027000 32.065466720954866 -56.048870312753394 -10.118600601795418
 0.028000 32.07733659998219 -56.01499823122691 -10.189813793647886
 0.029000 32.090261731780046 -55.978859984349484 -10.265135305929451
 0.030000 32.104057338809596 -55.94040155802468 -10.344646809748392
 0.031000 32.1185236114383 -55.89957358340133 -10.428425805757465
 0.032000 32.133452877318426 -55.85633146005175 -10.516545439264505
 0.033000 32.148636998087355 -55.81063540250441 -10.609074233342705
 0.034000 32.16387472504987 -55.76245041223005 -10.706075742694312
 0.035000 32.17897874430784 -55.71174618177475 -10.807608135105184
 0.036000 32.19378215074865 -55.65849694192494 -10.913723711146478
 0.037000 32.2081441093496 -55.60268126622572 -11.024468376055566
 0.038000 32.2219544909419 -55.544281849578944 -11.13988108024246
 0.039000 32.23513730703039 -55.48328527885098 -11.259993246479059
 0.040000 32.24765281321591 -55.419681813374964 -11.384828202483225
 0.041000 32.25949820159392 -55.35346519201493 -11.514400637340431
 0.042000 32.270706857286875 -55.28463248124949 -11.648716099120488
 0.043000 32.28134621086377 -55.21318397578955 -11.787770549306826
 0.044000 32.29151427452448 -55.13912315985863 -11.931549987451604
 0.045000 32.30133500324514 -55.06245673372717 -12.080030156991752
 0.046000 32.31095267031306 -54.98319470664907 -12.233176340576286
 0.047000 32.32058024524041 -54.901434032340774 -12.390845215992417
 0.048000 32.33206775278397 -54.81779276465839 -12.554101061421388
 0.049000 32.34534503198093 -54.7316445003471 -12.72221787672748
 0.050000 32.360425814009744 -54.642916005548145 -12.894896226930832
 0.051000 32.37729684115549 -54.55162378597217 -13.071964375942377
 0.052000 32.39589296927733 -54.45780124204827 -13.253288457970577
 0.053000 32.41609264136989 -54.361488746679285 -13.438744998738763
 0.054000 32.43772129468498 -54.262733841224644 -13.628211313813125
 0.055000 32.46055863129068 -54.16159234081994 -13.82156199073847
 0.056000 32.48434822597147 -54.058129018141415 -14.018667703277675
 0.057000 32.508808673268405 -53.95241781977843 -14.219394959071646
 0.058000 32.533645661382124 -53.84454170867245 -14.423606202525551
